City,Year,Population,Employment,Unemployment,Labor Force,Unemployment Rate,Labor Force to Population Ratio,Date
Mesa,1996,345197,185354,5992,191346,3.1,55.4,1996
Mesa,1997,353005,190645,4856,195501,2.5,55.4,1997
Mesa,1998,360755,199546,4813,204359,2.4,56.6,1998
Mesa,1999,368811,207026,5398,212424,2.5,57.6,1999
Mesa,2000,402853,202888,6206,209094,3.0,51.9,2000
Mesa,2001,404020,208146,8357,216503,3.9,53.6,2001
Mesa,2002,408754,211845,11510,223355,5.2,54.6,2002
Mesa,2003,416301,214758,10768,225526,4.8,54.2,2003
Mesa,2004,418693,218545,9303,227848,4.1,54.4,2004
Mesa,1990,291256,143772,5476,149248,3.7,51.2,1990
Mesa,1991,297137,142740,6553,149293,4.4,50.2,1991
Mesa,1992,304409,144518,8416,152934,5.5,50.2,1992
Mesa,1993,313341,152053,6871,158924,4.3,50.7,1993
Mesa,1994,325672,164954,6631,171585,3.9,52.7,1994
Mesa,1995,337236,178038,5621,183659,3.1,54.5,1995
Mesa,2005,427923,222130,8573,230703,3.7,53.9,2005
Mesa,2006,436065,225788,7682,233470,3.3,53.5,2006
Mesa,2007,456449,225713,6956,232669,3.0,51.0,2007
Mesa,2008,463829,220405,11478,231883,4.9,50.0,2008
Mesa,2009,467157,209359,19208,228567,8.4,48.9,2009
Mesa,2010,440993,196540,21083,217623,9.7,49.3,2010
Mesa,2011,447681,195779,18602,214381,8.7,47.9,2011
Mesa,2012,456968,198069,15702,213771,7.3,46.8,2012
Mesa,2013,464803,199926,14258,214184,6.7,46.1,2013
Mesa,2014,473132,206593,12795,219388,5.8,46.4,2014
Mesa,2015,481811,213349,11667,225016,5.2,46.7,2015
Mesa,2016,490695,222674,10663,233337,4.6,47.6,2016
Mesa,2017,500021,232532,10064,242596,4.1,48.5,2017
Mesa,2018,507945,241305,10236,251541,4.1,49.5,2018
Mesa,2019,518012,251588,10514,262102,4.0,50.6,2019
