ID,Date Reported,Calculated Received Date,Date Abated,Nearest Address,Square Feet Abated,Days to Abatement,Reporting Source,Year Reported,Month Reported,Day Reported,Calculated Received Year,Calculated Received Month,Calculated Received Day,Year Abated,Month Abated,Day Abated,Location,Latitude,Longitude
2449587,01/01/2022,01/03/2022,01/03/2022,"607 W Camino Cir, Mesa, AZ, 85201",3,0.2,Website (Public),2022,Jan,01,2022,Jan,03,2022,Jan,03,POINT (-111.844 33.4242),33.424202,-111.8442348
2449414,01/01/2022,01/03/2022,01/03/2022,"4148 E Pueblo Ave, Mesa, AZ, 85206",2,0.2,Website (Public),2022,Jan,01,2022,Jan,03,2022,Jan,03,POINT (-111.742 33.4006),33.4006284,-111.7415088
2449775,01/02/2022,01/03/2022,01/03/2022,"2536 S Terrell, Mesa, AZ, 85209",3,0.3,Website (Public),2022,Jan,02,2022,Jan,03,2022,Jan,03,POINT (-111.649 33.3696),33.3695671,-111.6486964
2449823,01/02/2022,01/03/2022,01/03/2022,"Rio Salado Pathway, Mesa, AZ, 85256",10,0.4,Self Reported (City Staff),2022,Jan,02,2022,Jan,03,2022,Jan,03,POINT (-111.886 33.4361),33.436108,-111.8863739
2449830,01/02/2022,01/03/2022,01/03/2022,"Rio Salado Pathway, Mesa, AZ, 85256",16,0.4,Self Reported (City Staff),2022,Jan,02,2022,Jan,03,2022,Jan,03,POINT (-111.889 33.4365),33.4364662,-111.889037
2449849,01/02/2022,01/03/2022,01/03/2022,"2206 W Pampa Ave, Mesa, AZ, 85202",40,0.4,Website (Public),2022,Jan,02,2022,Jan,03,2022,Jan,03,POINT (-111.88 33.3594),33.3594192,-111.8803158
2452135,01/03/2022,01/04/2022,01/04/2022,"2254 W Main St, Mesa, AZ, 85201",4,0.2,Phone/Email (Public),2022,Jan,03,2022,Jan,04,2022,Jan,04,POINT (-111.881 33.4155),33.415455,-111.880737
2454006,01/04/2022,01/05/2022,01/04/2022,"2723 E 1st St, Mesa, AZ, 85213",60,0.0,Self Reported (City Staff),2022,Jan,04,2022,Jan,05,2022,Jan,04,POINT (-111.772 33.4171),33.4170521,-111.7723378
2452640,01/04/2022,01/05/2022,01/04/2022,"7678 E Baseline Rd, Mesa, AZ, 85209",12,0.0,Self Reported (City Staff),2022,Jan,04,2022,Jan,05,2022,Jan,04,POINT (-111.666 33.3793),33.3793389,-111.6662391
2453452,01/04/2022,01/05/2022,01/04/2022,"822 S Alma School Rd, Mesa, AZ, 85210",1,0.0,Self Reported (City Staff),2022,Jan,04,2022,Jan,05,2022,Jan,04,POINT (-111.857 33.3999),33.3998887,-111.8570599
2453367,01/04/2022,01/05/2022,01/04/2022,"Alma Gdns, Mesa, AZ, 85210",6,0.0,Self Reported (City Staff),2022,Jan,04,2022,Jan,05,2022,Jan,04,POINT (-111.857 33.4051),33.4051452,-111.8568915
2453083,01/04/2022,01/05/2022,01/04/2022,"2271 W Main St, Mesa, AZ, 85201",6,0.0,Self Reported (City Staff),2022,Jan,04,2022,Jan,05,2022,Jan,04,POINT (-111.881 33.4146),33.4146156,-111.8809812
2452695,01/04/2022,01/05/2022,01/04/2022,"533 W Guadalupe Rd, Mesa, AZ, 85210",25,0.0,Phone/Email (Public),2022,Jan,04,2022,Jan,05,2022,Jan,04,POINT (-111.846 33.363),33.363043,-111.845685
2454003,01/04/2022,01/05/2022,01/04/2022,"2788 E 1st St, Mesa, AZ, 85213",2,0.0,Self Reported (City Staff),2022,Jan,04,2022,Jan,05,2022,Jan,04,POINT (-111.772 33.4172),33.4172178,-111.7723668
2453420,01/04/2022,01/05/2022,01/04/2022,"1216 W 6th Dr, Mesa, AZ, 85202",3,0.0,Self Reported (City Staff),2022,Jan,04,2022,Jan,05,2022,Jan,04,POINT (-111.857 33.4032),33.4031685,-111.85692
2453393,01/04/2022,01/05/2022,01/04/2022,"544 S Alma School Rd, Mesa, AZ, 85210",3,0.0,Self Reported (City Staff),2022,Jan,04,2022,Jan,05,2022,Jan,04,POINT (-111.857 33.4045),33.4044567,-111.856903
2453086,01/04/2022,01/05/2022,01/04/2022,"2273 W Main St, Mesa, AZ, 85201",4,0.0,Self Reported (City Staff),2022,Jan,04,2022,Jan,05,2022,Jan,04,POINT (-111.881 33.4146),33.4145878,-111.8810079
2454000,01/04/2022,01/05/2022,01/04/2022,"2788 E 1st St, Mesa, AZ, 85213",30,0.0,Self Reported (City Staff),2022,Jan,04,2022,Jan,05,2022,Jan,04,POINT (-111.772 33.4172),33.4172265,-111.7723691
2452668,01/04/2022,01/05/2022,01/04/2022,"1130 S Sossaman Rd, Mesa, AZ, 85208",2,0.0,Self Reported (City Staff),2022,Jan,04,2022,Jan,05,2022,Jan,04,POINT (-111.668 33.3945),33.394481,-111.667693
2453089,01/04/2022,01/05/2022,01/04/2022,"2273 W Main St, Mesa, AZ, 85201",4,0.0,Self Reported (City Staff),2022,Jan,04,2022,Jan,05,2022,Jan,04,POINT (-111.881 33.4146),33.4146374,-111.880991
