RowID,Survey Method,Survey Type,Reporting Date,Reporting Year,City,Age,Age Group,Gender,Race,Ethnicity,Hispanic,Veteran Status,Chronic,Latitude,Longitude,Geolocation
7106,Observation Tool,Paper,01/27/2020,2020,Tempe,0-17,0-17,male,White,DK/REF,White,,,,,
5205,Interview,App,01/27/2020,2020,Phoenix,25-54,25+,male,White,No,White,No,,33.6540926,-112.09848299,POINT (-112.09848299 33.6540926)
4886,Interview,App,01/27/2020,2020,Phoenix,25-54,25+,female,White,No,White,No,,33.571650262,-112.065589428,POINT (-112.065589428 33.571650262)
7105,Observation Tool,Paper,01/27/2020,2020,Tempe,0-17,0-17,female,White,DK/REF,White,,,,,
5302,Interview,App,01/27/2020,2020,Mesa,25-54,25+,male,White,Yes,White,No,,33.39416469,-111.80738966,POINT (-111.80738966 33.39416469)
5729,Observation Tool,App,01/27/2020,2020,Phoenix,DK/REF,25+,DK/REF,DK/REF,DK/REF,DK/REF,,,33.44488084,-112.084738555,POINT (-112.084738555 33.44488084)
6522,Observation Tool,App,01/27/2020,2020,Tempe,55-61,25+,female,Multiple Races,No,Multiple Races,,,33.349299179,-111.955085434,POINT (-111.955085434 33.349299179)
6079,Observation Tool,App,01/27/2020,2020,Phoenix,55-61,25+,male,American Indian or Alaska Native,No,American Indian or Alaska Native,,,33.44460963,-112.07243921,POINT (-112.07243921 33.44460963)
6039,Observation Tool,App,01/27/2020,2020,Mesa,25-54,25+,male,Native Hawaiian or Other Pacific Islander,Yes,Native Hawaiian or Other Pacific Islander,,,33.411338422,-111.839442495,POINT (-111.839442495 33.411338422)
6165,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,male,White,No,White,,,33.571811174,-112.065812051,POINT (-112.065812051 33.571811174)
6661,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,male,DK/REF,DK/REF,DK/REF,,,33.465657723,-112.144479733,POINT (-112.144479733 33.465657723)
5495,Interview,App,01/27/2020,2020,Scottsdale,25-54,25+,male,White,No,White,No,true,33.458179892,-111.927112509,POINT (-111.927112509 33.458179892)
4792,Interview,App,01/27/2020,2020,Phoenix,25-54,25+,female,White,No,White,No,true,33.44833427,-112.01362628,POINT (-112.01362628 33.44833427)
6114,Observation Tool,App,01/27/2020,2020,Phoenix,DK/REF,18-24,DK/REF,DK/REF,DK/REF,DK/REF,,,33.424094783,-112.072304441,POINT (-112.072304441 33.424094783)
6413,Observation Tool,App,01/27/2020,2020,Phoenix,DK/REF,25+,DK/REF,DK/REF,DK/REF,DK/REF,,,33.45869405,-112.06905911,POINT (-112.06905911 33.45869405)
4937,Interview,App,01/27/2020,2020,Phoenix,25-54,25+,male,White,No,White,Yes,true,33.569997875,-112.085383209,POINT (-112.085383209 33.569997875)
5101,Interview,App,01/27/2020,2020,Phoenix,25-54,25+,male,DK/REF,DK/REF,DK/REF,No,,33.567380696,-112.133594202,POINT (-112.133594202 33.567380696)
5114,Interview,App,01/27/2020,2020,Tempe,DK/REF,25+,male,White,No,White,No,,33.42313373,-111.940217028,POINT (-111.940217028 33.42313373)
6298,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,male,White,No,White,,,33.56971244,-112.06571335,POINT (-112.06571335 33.56971244)
7063,Interview,Paper,01/27/2020,2020,Mesa,55-61,25+,female,White,No,White,No,,33.424541,-111.838908,POINT (-111.838908 33.424541)
5033,Interview,App,01/27/2020,2020,Phoenix,25-54,25+,male,Black or African American,No,Black or African American,No,true,33.451647707,-112.092987187,POINT (-112.092987187 33.451647707)
6472,Observation Tool,App,01/27/2020,2020,Mesa,DK/REF,25+,DK/REF,DK/REF,DK/REF,DK/REF,,,33.43628696,-111.86881882,POINT (-111.86881882 33.43628696)
6445,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,male,DK/REF,No,DK/REF,,,33.42993755,-112.09979672,POINT (-112.09979672 33.42993755)
7102,Observation Tool,Paper,01/27/2020,2020,Tempe,25-54,25+,female,White,DK/REF,White,,,,,
5972,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,male,White,No,White,,,33.46291418,-112.07306501,POINT (-112.07306501 33.46291418)
6559,Observation Tool,App,01/27/2020,2020,Phoenix,DK/REF,25+,DK/REF,DK/REF,DK/REF,DK/REF,,,33.47982546,-112.01244354,POINT (-112.01244354 33.47982546)
6055,Observation Tool,App,01/27/2020,2020,Phoenix,DK/REF,25+,DK/REF,DK/REF,DK/REF,DK/REF,,,33.5714545,-112.13329515,POINT (-112.13329515 33.5714545)
6628,Observation Tool,App,01/27/2020,2020,Phoenix,25-54,25+,male,DK/REF,DK/REF,DK/REF,,,33.56732143,-112.1082005,POINT (-112.1082005 33.56732143)
5935,Observation Tool,App,01/27/2020,2020,Phoenix,55-61,25+,male,Black or African American,DK/REF,Black or African American,,,33.553257216,-112.098987765,POINT (-112.098987765 33.553257216)
5553,Interview,App,01/27/2020,2020,Tempe,55-61,25+,female,White,No,White,No,true,33.4137181,-111.90431778,POINT (-111.90431778 33.4137181)
6882,Observation Tool,App,01/27/2020,2020,Scottsdale,62+,25+,male,White,No,White,,,33.492176598,-111.920458283,POINT (-111.920458283 33.492176598)
7103,Observation Tool,Paper,01/27/2020,2020,Tempe,25-54,25+,male,White,DK/REF,White,,,,,
