Place Name,Geo Id,Geography Type,Year,Year (Date),Variable Code,Variable Label,Field Name,Variable Concept,Annotation,Value,Percent Change,Difference,Centroid,Internal Point,Geometry
,1400000US04013420604,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,87962,0.00,36,POINT (-111.7964123654928 33.444363775310144),POINT (-111.79640392433757 33.4449855),"MULTIPOLYGON (((-111.805072 33.444222, -111.805037 33.445596, -111.804893 33.451506, -111.787647 33.45176, -111.787689 33.449157, -111.787765 33.444375, -111.787771 33.444018, -111.787881 33.437199, -111.80528 33.437033, -111.805072 33.444222)))"
,1400000US04013422649,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,100423,,,POINT (-111.5879992807396 33.335349224171196),POINT (-111.58799142540303 33.335369),"MULTIPOLYGON (((-111.592376 33.349846, -111.58385 33.349764, -111.583799 33.342629, -111.58374 33.336626, -111.583737 33.335322, -111.583616 33.320871, -111.590307 33.320906, -111.592131 33.320855, -111.592206 33.32811, -111.592246 33.335416, -111.592334 33.342629, -111.592376 33.349846)))"
,1400000US04013422642,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,96816,0.16,13573,POINT (-111.62741940796523 33.37181517383579),POINT (-111.62743078665906 33.3718185),"MULTIPOLYGON (((-111.6362 33.379106, -111.626213 33.379063, -111.618934 33.379004, -111.618818 33.371557, -111.618656 33.364463, -111.627283 33.364585, -111.635925 33.364655, -111.63606 33.371644, -111.636019 33.371993, -111.636098 33.375515, -111.6362 33.379106)))"
,1400000US04013422659,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,63030,,,POINT (-111.6401348532522 33.389982085842945),POINT (-111.63992419398274 33.391411),"MULTIPOLYGON (((-111.647945 33.389489, -111.646179 33.393374, -111.641501 33.393357, -111.640645 33.393333, -111.63278 33.393352, -111.63277 33.386729, -111.64721 33.386819, -111.648251 33.38675, -111.647945 33.389489)))"
Chandler,1600000US0412000,Place,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,85796,0.03,2871,,,
,1400000US04013522802,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,32235,,,POINT (-111.67879978271628 33.301525795415415),POINT (-111.67984146221943 33.302749500000004),"MULTIPOLYGON (((-111.68868 33.30715, -111.687493 33.307198, -111.685872 33.311582, -111.682932 33.320303, -111.680914 33.321534, -111.679871 33.321734, -111.678846 33.319913, -111.678889 33.314898, -111.678206 33.31358, -111.676324 33.312787, -111.67368 33.312637, -111.670334 33.309911, -111.670127 33.304747, -111.670696 33.303666, -111.672978 33.301833, -111.673161 33.300687, -111.67085 33.298363, -111.669595 33.296317, -111.669498 33.292501, -111.669491 33.285293, -111.671505 33.285339, -111.672817 33.285615, -111.679049 33.288787, -111.686392 33.288682, -111.686425 33.289029, -111.686565 33.292628, -111.68669 33.300282, -111.689111 33.30545, -111.68868 33.30715)))"
,1400000US04013420215,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,96675,0.15,12925,POINT (-111.72755235305763 33.44456230340569),POINT (-111.72756122293717 33.4435325),"MULTIPOLYGON (((-111.736246 33.442467, -111.736136 33.44729, -111.736033 33.451833, -111.731727 33.451839, -111.718795 33.451853, -111.718884 33.444598, -111.718998 33.437345, -111.733421 33.437271, -111.736368 33.437243, -111.736246 33.442467)))"
,1400000US04013422633,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,46634,0.04,1767,POINT (-111.67655192339556 33.38616315490724),POINT (-111.6761833271273 33.38564),"MULTIPOLYGON (((-111.687579 33.381273, -111.685052 33.383949, -111.684856 33.384576, -111.684829 33.386704, -111.684732 33.39398, -111.682112 33.393431, -111.681154 33.393335, -111.676175 33.393321, -111.667522 33.393395, -111.667524 33.386802, -111.667525 33.379269, -111.66809 33.379255, -111.680817 33.379375, -111.682931 33.379381, -111.687922 33.379385, -111.687579 33.381273)))"
Maricopa County,0500000US04013,County,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,67799,0.05,3331,,,
,1400000US04013421502,Tract,2020,2020,S1901_C01_012E,Households - Median income (dollars),Median income (dollars),Income in the Past 12 Months (In 2020 Inflation-Adjusted Dollars),,41500,0.04,1746,POINT (-111.81411242283802 33.41875254717403),POINT (-111.81408881328589 33.420353),"MULTIPOLYGON (((-111.822919 33.417578, -111.822913 33.41833, -111.822872 33.422376, -111.814063 33.422381, -111.805278 33.422416, -111.805303 33.415179, -111.814091 33.415114, -111.817141 33.415098, -111.818479 33.41509, -111.822943 33.415079, -111.822919 33.417578)))"
